,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
1996,-54.9801,-20.93778,-108.39285714285714,330,2369.7709527923803,130,22.02
291,-54.95952,-20.95034,-106.4074074074074,109,2370.7168375842216,180,7.99
244,-54.96406999999999,-20.94988,-119.69090909090907,105,2370.9571289316546,174,9.53
293,-54.95896,-20.95035,-106.26923076923076,109,2372.1228085931452,181,7.69
512,-54.96909,-20.94831,-80.37735849056604,160,2372.711973886446,166,11.66
287,-54.959480000000006,-20.95036,-106.875,109,2372.905030237024,180,7.99
285,-54.95893,-20.95036,-108.1153846153846,109,2373.286147924857,181,7.69
276,-54.95876,-20.95036,-109.96428571428572,109,2373.6828829459364,181,7.69
298,-54.95867,-20.95036,-104.60714285714286,110,2373.946212018989,181,7.69
1666,-54.97886999999999,-20.94005,-108.6896551724138,301,2373.988799604493,139,20.12
299,-54.95858000000001,-20.95036,-106.26923076923076,110,2374.2464207475305,181,7.69
251,-54.96293000000001,-20.95011,-108.92857142857143,106,2374.4548852854573,175,9.28
270,-54.95884,-20.95037,-106.77551020408166,109,2374.586663048541,181,7.69
301,-54.95848,-20.95037,-106.44444444444444,110,2375.729569760337,181,7.69
305,-54.95837,-20.95037,-110.07142857142857,110,2376.1963763305903,181,7.69
273,-54.95945,-20.95039,-106.66,109,2376.2117223467853,180,7.99
1997,-54.98015,-20.93782,-108.21428571428572,330,2376.338193041357,131,21.94
303,-54.95817,-20.95037,-111.35714285714286,110,2377.1859652355197,182,7.45
1676,-54.9789,-20.94006,-106.50943396226415,301,2377.2309893542892,139,20.12
300,-54.95796,-20.95036,-109.1851851851852,110,2377.3153219813944,182,7.45
304,-54.95786,-20.95036,-110.0,110,2377.9737217446736,182,7.45
249,-54.96411,-20.94994,-118.3103448275862,105,2378.318289582084,173,9.8
302,-54.95775,-20.95036,-107.92857142857143,110,2378.7502808276327,182,7.45
253,-54.96296,-20.95015,-107.53571428571428,106,2379.318533212293,175,9.28
1987,-54.98018,-20.93784,-109.16071428571428,330,2380.0956445369975,131,21.94
319,-54.95755,-20.95036,-109.25925925925924,111,2380.3024571506935,182,7.45
1670,-54.97893000000001,-20.94008,-107.89285714285714,301,2381.0472482969076,139,20.12
320,-54.95745,-20.95036,-110.36,111,2381.1463180076676,183,7.2
280,-54.95936,-20.95044,-106.71428571428572,109,2381.7278731137994,180,7.99
321,-54.95735,-20.95036,-109.71428571428572,111,2382.035297494747,183,7.2
1965,-54.9802,-20.93786,-112.0,330,2382.9069133723738,131,21.94
306,-54.95725,-20.95036,-110.25,111,2382.969345115727,183,7.2
308,-54.95716,-20.95036,-108.85714285714286,111,2383.848477496961,183,7.2
338,-54.96914,-20.9484,-80.85714285714286,130,2383.942785487655,166,11.66
248,-54.96412,-20.94999,-117.43396226415095,105,2383.949384180595,173,9.8
256,-54.96298,-20.95019,-107.4,106,2384.0199386430722,175,9.28
337,-54.96917,-20.94839,-88.22222222222223,130,2384.2757355631716,166,11.66
1672,-54.97897,-20.9401,-109.75,301,2385.7529168220044,139,20.12
225,-54.96412,-20.95001,-116.58620689655173,105,2386.115408390608,173,9.8
279,-54.95931,-20.95048,-105.83928571428572,109,2386.161515694151,180,7.99
1963,-54.98023000000001,-20.93789,-108.6896551724138,330,2387.1248586036622,131,21.94
257,-54.963,-20.95022,-110.39285714285714,106,2387.6289759797883,175,9.28
318,-54.95695,-20.95038,-108.52083333333331,111,2388.243468998757,183,7.2
223,-54.96409,-20.95006,-119.0,105,2390.8864146266046,174,9.53
317,-54.95692,-20.95041,-105.19230769230771,111,2391.8753485535885,183,7.2
231,-54.96406,-20.95008,-118.64285714285714,105,2392.4133699877907,174,9.53
259,-54.96303,-20.95026,-105.46428571428572,106,2392.497881619058,175,9.28
294,-54.95923000000001,-20.95054,-104.62264150943396,109,2392.8359527093075,180,7.99
1678,-54.97904000000001,-20.94013,-109.52631578947368,301,2393.7010620905953,139,20.12
1959,-54.98028000000001,-20.93794,-110.66666666666669,330,2394.157529604079,131,21.94
246,-54.96399,-20.95012,-119.21428571428572,105,2395.273223982313,174,9.53
238,-54.96396,-20.95014,-118.85714285714286,105,2396.817063553031,174,9.53
261,-54.96305,-20.9503,-105.78571428571428,106,2397.2022567750496,175,9.28
282,-54.95921,-20.95058,-103.14285714285714,109,2397.276905956964,180,7.99
316,-54.9569,-20.95046,-102.39285714285714,111,2397.600900630138,183,7.2
1957,-54.98031,-20.93796,-111.73972602739723,330,2397.9169205247663,131,21.94
241,-54.96392,-20.95016,-118.0,105,2398.1599516436577,174,9.53
1669,-54.97908,-20.94015,-110.0,301,2398.4068608170896,139,20.12
335,-54.96924,-20.94851,-87.46153846153847,130,2399.39960708633,166,11.66
239,-54.96389,-20.95018,-117.82352941176471,105,2399.715488322788,174,9.53
237,-54.96386,-20.9502,-117.8846153846154,105,2401.2761142349314,174,9.53
262,-54.96307,-20.95034,-105.14285714285714,106,2401.9073850322443,175,9.28
322,-54.9569,-20.95051,-97.46428571428572,111,2403.105251177259,183,7.2
334,-54.96923,-20.94856,-81.01785714285714,130,2403.9582449128184,166,11.66
1951,-54.98036,-20.938,-111.14285714285714,330,2404.4912287158286,131,21.94
232,-54.96378000000001,-20.95025,-116.10714285714286,105,2405.1003482673723,174,9.53
336,-54.96928000000001,-20.94855,-89.70370370370371,130,2405.1843639030135,166,11.66
258,-54.96309,-20.95037,-102.46428571428572,106,2405.520611508629,175,9.28
236,-54.96375,-20.95026,-114.28571428571428,105,2405.592433581844,174,9.53
1665,-54.97914,-20.94019,-111.61111111111113,301,2406.0391331658643,139,20.12
235,-54.96372,-20.95028,-114.78571428571428,105,2407.1762738722073,174,9.53
281,-54.95922,-20.95067,-105.37735849056604,109,2407.234797170391,180,7.99
